id,longitude,latitude,seg_bits,scale_id,scale,cap_spring,cap_summer,cap_autumn,cap_winter,build_cost_usd,op_cost_usd_for_4seasons,is_active_solve
992,113.18612640031324,23.376414999752512,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
993,113.1859760003922,23.379581900284503,000,0,NONE,0,0,0,0,0,0.0,1
994,113.18850469973222,23.380288500314062,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
995,113.16464070000836,23.38185510043257,000,0,NONE,0,0,0,0,0,0.0,1
996,113.18039710014614,23.38185349963936,000,0,NONE,0,0,0,0,0,0.0,1
997,113.18116630018471,23.38177920034985,000,0,NONE,0,0,0,0,0,0.0,0
998,113.18167180011358,23.38191310040929,000,0,NONE,0,0,0,0,0,0.0,1
999,113.16920190044743,23.382211400136043,000,0,NONE,0,0,0,0,0,0.0,1
1000,113.16923859998144,23.38185620030345,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1001,113.17926539957864,23.38225359992373,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1002,113.14636879988028,23.380750400210843,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1003,113.19597169963424,23.381719300105654,000,0,NONE,0,0,0,0,0,0.0,1
1004,113.19589569972686,23.3818178001514,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1005,113.18691870033786,23.38220560040816,010,2,M,15872,15360,15872,15360,179984,4211.172602739726,1
1006,113.20103789997916,23.383237600335065,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1007,113.2067189002571,23.385767500269992,000,0,NONE,0,0,0,0,0,0.0,1
1008,113.36988699998516,23.36115350013398,010,2,M,15872,15360,15872,15360,179984,4211.172602739726,1
1009,113.36959600005537,23.361422999971523,000,0,NONE,0,0,0,0,0,0.0,1
1010,113.37059760019918,23.36170939986897,000,0,NONE,0,0,0,0,0,0.0,1
1011,113.3740687998353,23.364009200164503,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1012,113.37396149992333,23.364241999568662,010,2,M,15872,15360,15872,15360,179984,4211.172602739726,1
1013,113.3702790999006,23.36195490039836,000,0,NONE,0,0,0,0,0,0.0,1
1014,113.38948159959624,23.37324469978313,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1015,113.38965560042573,23.37312530039236,000,0,NONE,0,0,0,0,0,0.0,1
1016,113.3934721001574,23.37626630044946,000,0,NONE,0,0,0,0,0,0.0,1
1017,113.3931237999235,23.376511800079584,000,0,NONE,0,0,0,0,0,0.0,1
1018,113.40132600009484,23.38207159962468,001,3,L,23808,23040,23808,23040,269976,6316.591780821918,1
1019,113.4012742998691,23.3822721997023,000,0,NONE,0,0,0,0,0,0.0,0
1020,113.29653530006408,23.382056800381065,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1021,113.29662600028972,23.38347459957316,010,2,M,15872,15360,15872,15360,179984,4211.172602739726,1
1022,113.29577220012698,23.383645299890706,000,0,NONE,0,0,0,0,0,0.0,1
1023,113.4045778002254,23.38292379989349,000,0,NONE,0,0,0,0,0,0.0,1
1024,113.40444409981546,23.383273199998257,000,0,NONE,0,0,0,0,0,0.0,1
1025,113.40459520030834,23.38331529996117,000,0,NONE,0,0,0,0,0,0.0,0
1026,113.41001580008913,23.38447349995209,001,3,L,23808,23040,23808,23040,269976,6316.591780821918,1
1027,113.40995759956364,23.38469710019109,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1028,113.30014330007327,23.390478200408666,000,0,NONE,0,0,0,0,0,0.0,1
1029,113.29625960030036,23.391606200265983,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1030,113.30108879960846,23.392928299901143,010,2,M,15872,15360,15872,15360,179984,4211.172602739726,1
1031,113.42466330017125,23.3872333997017,000,0,NONE,0,0,0,0,0,0.0,0
1032,113.42458720043896,23.38684760043645,000,0,NONE,0,0,0,0,0,0.0,1
1033,113.42981690022988,23.38767190013812,000,0,NONE,0,0,0,0,0,0.0,1
