id,longitude,latitude,seg_bits,scale_id,scale,cap_2020,cap_2025,cap_2030,cap_2035,cap_2040,build_cost_usd,op_cost_usd_for_total_duration,is_active_solve
3883,-84.7684407367,43.8196751112,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
3884,-72.5563015745,43.8111438311,000,0,NONE,0,0,0,0,0,0,0.0,0
3885,-112.192052587,43.8249331091,000,0,NONE,0,0,0,0,0,0,0.0,1
3886,-106.615993099,43.8283172525,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
3887,-90.0941030659,43.8391100092,001,3,L,696864,694960,694960,694960,696864,3200000,450493.15068493155,1
3888,-84.7682517064,43.8433180927,000,0,NONE,0,0,0,0,0,0,0.0,1
3889,-116.764692979,43.8433201017,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
3890,-87.7708372279,43.8685214275,001,3,L,696864,694960,694960,694960,696864,3200000,450493.15068493155,1
3891,-94.4291730738,43.8694948852,000,0,NONE,0,0,0,0,0,0,0.0,1
3892,-101.578642714,43.8360720436,000,0,NONE,0,0,0,0,0,0,0.0,1
3893,-101.153607947,43.8749267786,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
3894,-99.7922679259,43.8769091803,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
3895,-84.7787727392,43.8787961064,000,0,NONE,0,0,0,0,0,0,0.0,0
3896,-93.2769327839,43.8840838898,001,3,L,696864,694960,694960,694960,696864,3200000,450493.15068493155,1
3897,-102.001950223,43.8869060307,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
3898,-96.7587398202,43.8985403118,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
3899,-100.726844721,43.8841870942,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
3900,-72.1532487196,43.9041851018,000,0,NONE,0,0,0,0,0,0,0.0,0
3901,-85.516979425,43.9120066351,000,0,NONE,0,0,0,0,0,0,0.0,0
3902,-100.259798258,43.9124380714,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
3903,-84.0197911835,43.915395831,000,0,NONE,0,0,0,0,0,0,0.0,0
3904,-91.4227898763,43.9320892662,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
3905,-90.9793572654,43.8876822715,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
3906,-69.985626931,43.9362762174,000,0,NONE,0,0,0,0,0,0,0.0,0
